City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,east london,-33.0153,27.9116,25.52,50,0,3.6,ZA,1682258478
84,srednekolymsk,67.45,153.6833,-4.78,97,100,4.0,RU,1682258600
85,mount gambier,-37.8333,140.7667,11.47,86,0,2.05,AU,1682258504
86,cherskiy,68.75,161.3,-6.78,75,71,3.55,RU,1682258602
87,avarua,-21.2078,-159.775,21.03,94,23,1.54,CK,1682258474
88,port alfred,-33.5906,26.891,23.99,60,4,0.45,ZA,1682258399
89,emirdag,39.0197,31.15,12.23,62,88,3.59,TR,1682258606
90,ayan,56.45,138.1667,-1.64,72,75,5.05,RU,1682258608
91,velsk,61.0701,42.0983,5.54,83,100,2.43,RU,1682258609
92,obo,5.3998,26.4869,31.36,40,84,4.02,CF,1682258611
93,vestmanna,62.1564,-7.1664,1.51,60,100,6.17,FO,1682258612
94,valle del guamuez,0.4525,-76.9192,21.68,90,100,0.52,CO,1682258613
95,coquimbo,-29.9533,-71.3436,15.85,82,75,1.54,CL,1682258522
96,barcelos,41.5388,-8.6151,18.25,87,84,4.74,PT,1682258441
97,khani,41.9563,42.9566,10.76,89,100,1.38,GE,1682258617
98,gimli,50.6336,-96.9907,-1.99,74,85,2.06,CA,1682258439
99,honningsvag,70.9821,25.9704,-0.14,64,100,7.2,NO,1682258619
100,cam ranh,11.9214,109.1591,27.98,83,20,1.03,VN,1682258620
101,mahebourg,-20.4081,57.7,27.16,78,75,3.6,MU,1682258622
102,torbay,47.6666,-52.7314,4.66,97,100,10.73,CA,1682258445
103,butaritari,3.0707,172.7902,28.21,80,47,6.77,KI,1682258624
104,tezu,27.9167,96.1667,20.9,84,100,1.29,IN,1682258625
105,walvis bay,-22.9575,14.5053,25.53,41,0,6.17,NA,1682258382
106,georgetown,5.4112,100.3354,26.96,94,40,2.06,MY,1682258167
107,porto santo,33.072,-16.3415,20.21,64,20,3.6,PT,1682258629
108,correntina,-13.3433,-44.6367,27.18,51,87,4.2,BR,1682258631
109,pacifica,37.6138,-122.4869,13.07,95,100,4.47,US,1682258365
110,hithadhoo,-0.6,73.0833,29.46,69,97,3.37,MV,1682258474
111,severnyy,50.677,36.5532,15.02,44,0,3.13,RU,1682258634
112,sladkovo,55.5284,70.3385,12.0,52,100,6.99,RU,1682258636
113,shestakovo,56.4915,103.96,-7.29,90,10,0.88,RU,1682258637
114,tuatapere,-46.1333,167.6833,7.79,77,95,8.1,NZ,1682258640
115,tokur,53.1333,132.9,-5.9,97,98,0.62,RU,1682258641
116,odlabari,26.8333,88.6167,19.48,92,100,2.02,IN,1682258642
117,kimbe,-5.5502,150.1429,24.41,93,100,1.23,PG,1682258643
118,prince rupert,54.3161,-130.3201,6.83,92,100,6.69,CA,1682258193
119,matara,5.9485,80.5353,27.17,86,58,2.56,LK,1682258646
120,kodiak,57.79,-152.4072,1.48,71,3,5.16,US,1682258399
121,burnie,-41.0667,145.9167,12.19,92,28,2.28,AU,1682258649
122,krasnoselkup,65.7,82.4667,0.41,98,100,4.35,RU,1682258650
123,saint-philippe,-21.3585,55.7679,26.77,81,98,3.58,RE,1682258493
124,kamaishi,39.2667,141.8833,4.93,52,100,4.37,JP,1682258504
125,manokwari,-0.8667,134.0833,26.3,81,51,0.75,ID,1682258654
126,qaanaaq,77.484,-69.3632,-9.89,86,94,1.72,GL,1682258655
127,sheridan,44.8333,-106.9173,5.17,82,100,1.54,US,1682258320
128,northam,51.0333,-4.2167,10.77,79,95,6.49,GB,1682258450
129,sestri levante,44.2732,9.3968,21.01,65,15,2.68,IT,1682258546
130,bathsheba,13.2167,-59.5167,28.34,78,40,3.6,BB,1682258524
131,zhezkazgan,47.8043,67.7144,20.99,24,0,7.0,KZ,1682258662
132,griffith,41.5284,-87.4237,5.03,70,100,1.54,US,1682258663
133,portland,45.5234,-122.6762,12.33,95,100,3.13,US,1682258222
134,nazira,26.9167,94.7333,20.65,94,100,1.72,IN,1682258665
135,progreso,21.2833,-89.6667,28.06,69,9,4.87,MX,1682258667
136,san patricio,28.017,-97.5169,24.92,89,100,6.0,US,1682258479
137,midland,31.9974,-102.0779,5.38,90,100,6.69,US,1682258670
138,itarema,-2.9248,-39.9167,28.98,64,100,5.03,BR,1682258671
139,severo-kurilsk,50.6789,156.125,0.05,92,100,8.47,RU,1682258673
140,pemangkat,1.1667,108.9667,27.67,78,100,2.95,ID,1682258674
141,tuktoyaktuk,69.4541,-133.0374,-27.0,76,40,2.57,CA,1682258676
142,khuzhir,53.1939,107.3397,-5.49,78,5,1.83,RU,1682258678
143,pevek,69.7008,170.3133,-9.94,75,1,1.98,RU,1682258679
144,tsaratanana,-16.7833,47.65,27.42,75,92,0.25,MG,1682258681
145,parit buntar,5.1267,100.4932,26.99,93,100,2.6,MY,1682258682
146,palmer,42.1584,-72.3287,12.36,84,100,2.57,US,1682258683
147,kiruna,67.8557,20.2251,-1.49,34,75,3.09,SE,1682258685
148,padang,-0.9492,100.3543,26.03,89,100,1.73,ID,1682258687
149,kampot,10.6167,104.1833,27.03,74,4,3.26,KH,1682258689
150,pisco,-13.7,-76.2167,22.23,83,19,4.12,PE,1682258483
151,ancud,-41.8697,-73.8203,10.09,77,56,1.71,CL,1682258455
152,chapleau,47.8405,-83.4034,0.05,93,100,3.6,CA,1682258693
153,varkaus,62.3153,27.873,9.61,79,100,2.84,FI,1682258694
